"filename", "language", "Markdown", "TypeScript", "YAML", "JSON", "PostCSS", "JSON with Comments", "Vue", "MS SQL", "Shell Script", "comment", "blank", "total"
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-31-scheduled-summaries-design.md", "Markdown", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 235
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/ai-chat.spec.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/ai-summary.spec.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/dispatch.spec.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 28, 31, 237
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/generator.spec.ts", "TypeScript", 0, -20, 0, 0, 0, 0, 0, 0, 0, -2, -6, -28
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/qol.spec.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/so.shah/Documents/centralized-notifications-test/frontend/e2e/settings.spec.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 13, 14, 111
"/Users/so.shah/Documents/centralized-notifications-test/frontend/package.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/so.shah/Documents/centralized-notifications-test/frontend/playwright.config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/Button.vue", "Vue", 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, -5, -43
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/Chip.vue", "Vue", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -3, -20
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/Icon.vue", "Vue", 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, -3, -13
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/Skeleton.vue", "Vue", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, -2, -9
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/Spinner.vue", "Vue", 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -2, -20
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/components/ui/StatePanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -3, -20
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/design/icons.ts", "TypeScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -6, -3, -21
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/design/tokens.ts", "TypeScript", 0, -25, 0, 0, 0, 0, 0, 0, 0, -10, -6, -41
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/AdminView.vue", "Vue", 0, 0, 0, 0, 0, 0, -53, 0, 0, 0, -1, -54
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/DevLabsPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, -3, -36
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/FeaturesPanel.spec.ts", "TypeScript", 0, -44, 0, 0, 0, 0, 0, 0, 0, 0, -7, -51
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/FeaturesPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -65, 0, 0, 0, -9, -74
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/GeneratorPanel.spec.ts", "TypeScript", 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -9, -98
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/GeneratorPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -218, 0, 0, -2, -19, -239
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/MaintenancePanel.spec.ts", "TypeScript", 0, -63, 0, 0, 0, 0, 0, 0, 0, 0, -7, -70
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/MaintenancePanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -221, 0, 0, -5, -14, -240
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/ModulesPanel.spec.ts", "TypeScript", 0, -62, 0, 0, 0, 0, 0, 0, 0, 0, -8, -70
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/ModulesPanel.vue", "Vue", 0, 0, 0, 0, 0, 0, -156, 0, 0, 0, -14, -170
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/admin/adminApi.ts", "TypeScript", 0, -73, 0, 0, 0, 0, 0, 0, 0, -2, -10, -85
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/auth/LoginView.vue", "Vue", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/DashboardLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/dashboard/DashboardNotificationsLifecycle.vue", "Vue", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/CriticalToast.spec.ts", "TypeScript", 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -8, -42
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/CriticalToast.vue", "Vue", 0, 0, 0, 0, 0, 0, -91, 0, 0, -1, -5, -97
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/CriticalToastViewport.spec.ts", "TypeScript", 0, -53, 0, 0, 0, 0, 0, 0, 0, 0, -7, -60
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/CriticalToastViewport.vue", "Vue", 0, 0, 0, 0, 0, 0, -48, 0, 0, 0, -5, -53
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/NotificationBell.spec.ts", "TypeScript", 0, -85, 0, 0, 0, 0, 0, 0, 0, -4, -13, -102
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/NotificationBell.vue", "Vue", 0, 0, 0, 0, 0, 0, -75, 0, 0, 0, -9, -84
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/NotificationPopover.spec.ts", "TypeScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, -7, -13, -80
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/NotificationPopover.vue", "Vue", 0, 0, 0, 0, 0, 0, -108, 0, 0, -2, -9, -119
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/components/FeedList.spec.ts", "TypeScript", 0, -82, 0, 0, 0, 0, 0, 0, 0, -1, -9, -92
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/components/FeedList.vue", "Vue", 0, 0, 0, 0, 0, 0, -112, 0, 0, 0, -8, -120
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/components/FilterMenu.spec.ts", "TypeScript", 0, -30, 0, 0, 0, 0, 0, 0, 0, -2, -5, -37
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/components/FilterMenu.vue", "Vue", 0, 0, 0, 0, 0, 0, -209, 0, 0, 0, -20, -229
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/panel/AssistantTab.spec.ts", "TypeScript", 0, -47, 0, 0, 0, 0, 0, 0, 0, -1, -10, -58
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/panel/AssistantTab.vue", "Vue", 0, 0, 0, 0, 0, 0, -95, 0, 0, -3, -7, -105
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/panel/InboxTab.spec.ts", "TypeScript", 0, -195, 0, 0, 0, 0, 0, 0, 0, -4, -24, -223
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/panel/InboxTab.vue", "Vue", 0, 0, 0, 0, 0, 0, -201, 0, 0, -3, -13, -217
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/renderers/NotificationCardRenderer.spec.ts", "TypeScript", 0, -178, 0, 0, 0, 0, 0, 0, 0, -1, -20, -199
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/notifications/renderers/NotificationCardRenderer.vue", "Vue", 0, 0, 0, 0, 0, 0, -152, 0, 0, -2, -11, -165
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/settings/SettingsStub.vue", "Vue", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -2, -15
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/features/settings/SettingsView.vue", "Vue", 0, 0, 0, 0, 0, 0, 146, 0, 0, 3, 15, 164
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/FormRenderer.spec.ts", "TypeScript", 0, -38, 0, 0, 0, 0, 0, 0, 0, 0, -4, -42
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/FormRenderer.vue", "Vue", 0, 0, 0, 0, 0, 0, -88, 0, 0, 0, -9, -97
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/SelectField.spec.ts", "TypeScript", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -4, -27
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/burst.form.ts", "TypeScript", 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -2, -13
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/drip.form.ts", "TypeScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -1, -2, -19
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/features.form.ts", "TypeScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, -1, -2, -35
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/fields/SelectField.vue", "Vue", 0, 0, 0, 0, 0, 0, -41, 0, 0, 0, -6, -47
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/fields/SwitchField.vue", "Vue", 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, -4, -39
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/fields/TextField.vue", "Vue", 0, 0, 0, 0, 0, 0, -65, 0, 0, 0, -8, -73
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/generator.form.spec.ts", "TypeScript", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, -4, -54
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/generator.form.ts", "TypeScript", 0, -78, 0, 0, 0, 0, 0, 0, 0, -4, -3, -85
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/types.ts", "TypeScript", 0, -28, 0, 0, 0, 0, 0, 0, 0, -8, -5, -41
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/validation.spec.ts", "TypeScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/forms/validation.ts", "TypeScript", 0, -36, 0, 0, 0, 0, 0, 0, 0, -5, -5, -46
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/lib/cn.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -2, -8
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/lib/time.ts", "TypeScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, -6, -2, -25
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/main.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/chat.spec.ts", "TypeScript", 0, -68, 0, 0, 0, 0, 0, 0, 0, -2, -7, -77
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/chat.ts", "TypeScript", 0, -65, 0, 0, 0, 0, 0, 0, 0, -5, -8, -78
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/feed.spec.ts", "TypeScript", 0, -389, 0, 0, 0, 0, 0, 0, 0, -14, -75, -478
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/feed.ts", "TypeScript", 0, -343, 0, 0, 0, 0, 0, 0, 0, -89, -40, -472
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/notificationPanel.spec.ts", "TypeScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -3, -19
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/notificationPanel.ts", "TypeScript", 0, -15, 0, 0, 0, 0, 0, 0, 0, -5, -2, -22
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/session.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/settings.spec.ts", "TypeScript", 0, -29, 0, 0, 0, 0, 0, 0, 0, 0, -5, -34
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/settings.ts", "TypeScript", 0, -24, 0, 0, 0, 0, 0, 0, 0, -5, -5, -34
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/summary.spec.ts", "TypeScript", 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, -6, -45
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/summary.ts", "TypeScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, -5, -6, -43
"/Users/so.shah/Documents/centralized-notifications-test/frontend/src/stores/toast.spec.ts", "TypeScript", 0, -69, 0, 0, 0, 0, 0, 0, 0, -1, -10, -80
